# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.88,0.00
1,1000,8.97,0.11
2,1000,9.00,0.22
4,1000,9.00,0.44
8,1000,8.96,0.89
16,1000,8.95,1.79
32,1000,8.99,3.56
64,1000,8.99,7.12
128,1000,9.31,13.75
256,1000,9.35,27.38
512,1000,9.35,54.78
1024,1000,10.23,100.07
2048,1000,9.91,206.68
4096,1000,11.53,355.37
8192,1000,12.64,647.93
16384,1000,16.78,976.56
32768,1000,27.14,1207.51
65536,640,62.60,1046.96
131072,320,84.92,1543.52
262144,160,118.73,2207.84
524288,80,188.02,2788.40
1048576,40,330.80,3169.81
2097152,20,637.46,3289.88
4194304,10,1317.70,3183.05
8388608,5,2622.58,3198.61
16777216,2,5360.59,3129.73
33554432,1,10794.91,3108.36
67108864,1,21445.53,3129.27
134217728,1,42836.38,3133.26
268435456,1,86735.55,3094.87
