# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.47,0.00
1,1000,8.55,0.12
2,1000,8.62,0.23
4,1000,8.58,0.47
8,1000,8.61,0.93
16,1000,8.59,1.86
32,1000,8.57,3.73
64,1000,8.58,7.46
128,1000,8.93,14.34
256,1000,8.96,28.56
512,1000,9.02,56.78
1024,1000,10.53,97.25
2048,1000,9.57,214.03
4096,1000,11.82,346.58
8192,1000,12.36,662.59
16384,1000,17.03,962.19
32768,1000,27.38,1196.79
65536,640,62.20,1053.62
131072,320,84.64,1548.54
262144,160,118.82,2206.31
524288,80,188.41,2782.68
1048576,40,333.43,3144.84
2097152,20,645.18,3250.51
4194304,10,1330.68,3152.01
8388608,5,2649.92,3165.61
16777216,2,5403.08,3105.12
33554432,1,10940.82,3066.90
67108864,1,21632.19,3102.27
134217728,1,43435.20,3090.07
268435456,1,86080.26,3118.43
