# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.46,0.00
1,1000,0.47,2.11
2,1000,0.47,4.21
4,1000,0.47,8.45
8,1000,0.48,16.76
16,1000,0.47,33.71
32,1000,0.51,62.57
64,1000,0.50,128.00
128,1000,0.59,218.57
256,1000,0.64,402.73
512,1000,0.98,522.82
1024,1000,1.03,998.48
2048,1000,1.18,1728.70
4096,1000,1.58,2590.91
8192,1000,2.12,3861.48
16384,1000,3.64,4499.42
32768,1000,5.39,6083.34
65536,640,9.20,7124.80
131072,320,15.24,8600.61
262144,160,27.90,9396.67
524288,80,68.38,7666.82
1048576,40,132.85,7893.07
2097152,20,257.26,8151.75
4194304,10,512.84,8178.61
