# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.09,0.00
1,1000,5.11,0.20
2,1000,5.10,0.39
4,1000,5.09,0.79
8,1000,5.11,1.56
16,1000,5.11,3.13
32,1000,5.11,6.26
64,1000,5.13,12.47
128,1000,5.15,24.87
256,1000,5.18,49.38
512,1000,6.55,78.14
1024,1000,6.69,153.05
2048,1000,6.93,295.66
4096,1000,7.58,540.41
8192,1000,8.19,1000.73
16384,1000,14.65,1118.54
32768,1000,22.41,1462.14
65536,640,39.21,1671.60
131072,320,73.17,1791.43
262144,160,53.87,4866.35
524288,80,89.11,5883.67
1048576,40,153.07,6850.11
2097152,20,306.72,6837.31
4194304,10,647.97,6472.97
