# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.476 usec; Calculated Bandwidth = 8224.99 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.47,0.0,0.85,0.0
1,1000,0.48,2.1,0.85,1.176
2,1000,0.48,4.21,0.851,2.351
4,1000,0.47,8.43,0.851,4.701
8,1000,0.48,16.81,0.851,9.398
16,1000,0.48,33.61,0.852,18.774
32,1000,0.5,63.53,0.854,37.462
64,1000,0.5,128.16,0.858,74.584
128,1000,0.59,215.94,0.866,147.828
256,1000,0.64,402.99,0.881,290.437
512,1000,0.97,529.69,0.913,561.061
1024,1000,1.01,1013.89,0.975,1050.466
2048,1000,1.15,1776.84,1.099,1862.996
4096,1000,1.63,2508.82,1.348,3037.896
8192,1000,2.1,3908.74,1.846,4436.991
16384,1000,3.64,4495.14,2.842,5764.376
32768,1000,5.31,6166.1,4.834,6778.282
65536,640,9.15,7161.74,8.818,7431.886
131072,320,15.18,8636.9,16.786,7808.351
262144,160,28.31,9260.49,32.722,8011.257
524288,80,68.34,7671.55,64.594,8116.717
1048576,40,131.87,7951.84,128.337,8170.495
2097152,20,257.76,8136.2,255.823,8197.652
4194304,10,508.79,8243.71,510.797,8211.298
