# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.47,0.00
1,1000,0.46,2.15
2,1000,0.46,4.33
4,1000,0.47,8.53
8,1000,0.46,17.31
16,1000,0.46,34.54
32,1000,0.49,65.13
64,1000,0.49,130.14
128,1000,0.57,223.13
256,1000,0.63,404.66
512,1000,0.94,545.00
1024,1000,0.98,1047.66
2048,1000,1.09,1871.27
4096,1000,1.59,2583.07
8192,1000,1.96,4173.31
16384,1000,3.35,4892.46
32768,1000,5.39,6080.76
65536,640,9.25,7084.33
131072,320,15.24,8603.13
262144,160,28.34,9251.19
524288,80,70.41,7445.77
1048576,40,134.35,7804.78
2097152,20,257.59,8141.46
4194304,10,513.29,8171.34
