# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.44,0.00
1,1000,0.45,2.25
2,1000,0.45,4.49
4,1000,0.44,9.01
8,1000,0.45,17.95
16,1000,0.45,35.95
32,1000,0.49,64.78
64,1000,0.48,132.54
128,1000,0.59,216.60
256,1000,0.64,397.76
512,1000,0.98,524.24
1024,1000,1.02,1005.22
2048,1000,1.17,1752.81
4096,1000,1.52,2702.41
8192,1000,2.12,3863.82
16384,1000,3.61,4532.64
32768,1000,5.40,6067.58
65536,640,9.35,7010.69
131072,320,15.20,8620.87
262144,160,28.54,9184.34
524288,80,67.91,7720.82
1048576,40,132.84,7893.31
2097152,20,258.05,8126.96
4194304,10,509.48,8232.57
