# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.40,0.00
1,1000,1.43,0.70
2,1000,1.37,1.46
4,1000,1.43,2.80
8,1000,1.45,5.51
16,1000,1.38,11.60
32,1000,1.46,21.98
64,1000,1.47,43.64
128,1000,1.57,81.33
256,1000,1.60,159.83
512,1000,1.56,328.32
1024,1000,1.74,588.95
2048,1000,1.82,1128.13
4096,1000,2.31,1776.64
8192,1000,2.84,2886.22
16384,1000,3.34,4906.81
32768,1000,4.27,7677.79
65536,640,6.30,10396.13
131072,320,9.77,13411.90
262144,160,17.45,15024.92
524288,80,37.26,14070.78
1048576,40,98.68,10626.28
2097152,20,223.22,9395.16
4194304,10,544.39,7704.53
