# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.57,0.00
1,1000,8.64,0.12
2,1000,8.64,0.23
4,1000,8.70,0.46
8,1000,8.63,0.93
16,1000,8.63,1.85
32,1000,8.64,3.70
64,1000,8.68,7.37
128,1000,9.03,14.18
256,1000,9.03,28.35
512,1000,9.09,56.30
1024,1000,10.30,99.45
2048,1000,9.69,211.27
4096,1000,11.63,352.18
8192,1000,12.31,665.40
16384,1000,16.98,964.77
32768,1000,26.84,1220.72
65536,640,61.76,1061.15
131072,320,83.66,1566.67
262144,160,116.90,2242.45
524288,80,187.58,2794.97
1048576,40,333.09,3148.03
2097152,20,641.81,3267.55
4194304,10,1328.80,3156.46
