# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.21,4.71
2,1000,0.21,9.64
4,1000,0.21,19.17
8,1000,0.21,38.53
16,1000,0.21,75.51
32,1000,0.25,127.19
64,1000,0.25,254.14
128,1000,0.35,360.99
256,1000,0.37,686.49
512,1000,0.46,1107.66
1024,1000,0.57,1803.49
2048,1000,0.78,2630.03
4096,1000,1.15,3557.48
8192,1000,1.90,4320.11
16384,1000,2.97,5511.17
32768,1000,4.77,6876.01
65536,640,8.09,8096.73
131072,320,14.65,8945.71
262144,160,13.96,18772.44
524288,80,25.88,20261.31
1048576,40,58.66,17876.04
2097152,20,156.16,13429.73
4194304,10,331.21,12663.69
