# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,10.72,0.00
1,1000,9.99,0.10
2,1000,9.95,0.20
4,1000,9.97,0.40
8,1000,9.97,0.80
16,1000,9.96,1.61
32,1000,9.97,3.21
64,1000,10.03,6.38
128,1000,10.00,12.80
256,1000,36.92,6.93
512,1000,37.50,13.65
1024,1000,55.26,18.53
2048,1000,67.27,30.44
4096,1000,68.60,59.71
8192,1000,67.38,121.58
16384,1000,68.16,240.36
32768,1000,68.52,478.22
65536,640,70.67,927.42
131072,320,97.24,1347.97
262144,160,134.99,1941.93
524288,80,227.94,2300.12
1048576,40,421.24,2489.28
2097152,20,878.97,2385.93
4194304,10,1938.00,2164.25
8388608,5,3601.95,2328.91
16777216,2,6254.56,2682.40
33554432,1,11867.34,2827.46
67108864,1,22821.92,2940.54
134217728,1,45856.58,2926.90
268435456,1,93765.02,2862.85
