# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.444 usec; Calculated Bandwidth = 4260.803 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.44,0.0,110.711,0.0
1,1000,0.45,2.24,110.711,0.009
2,1000,0.44,4.5,110.711,0.018
4,1000,0.44,9.0,110.71,0.036
8,1000,0.45,17.96,110.709,0.072
16,1000,0.45,35.95,110.707,0.145
32,1000,0.49,65.5,110.704,0.289
64,1000,0.48,132.88,110.696,0.578
128,1000,0.59,217.96,110.681,1.156
256,1000,0.63,406.78,110.651,2.314
512,1000,0.98,522.97,110.591,4.63
1024,1000,1.01,1013.32,110.471,9.269
2048,1000,1.17,1745.36,110.231,18.579
4096,1000,1.59,2579.56,109.75,37.321
8192,1000,2.14,3821.09,108.789,75.302
16384,1000,3.63,4517.47,106.866,153.314
32768,1000,5.35,6120.52,103.021,318.072
65536,640,9.4,6971.59,95.33,687.464
131072,320,15.34,8543.76,79.949,1639.446
262144,160,28.01,9360.3,49.187,5329.574
524288,80,67.32,7787.49,12.338,42494.18
1048576,40,131.82,7954.62,135.387,7745.029
2097152,20,257.94,8130.42,381.485,5497.336
4194304,10,507.27,8268.45,873.682,4800.724
8388608,5,1065.15,7875.51,1858.074,4514.678
16777216,2,2407.72,6968.08,3826.86,4384.068
33554432,1,7873.21,4261.85,7764.431,4321.557
67108864,1,15899.26,4220.88,15639.573,4290.965
134217728,1,31542.07,4255.2,31389.858,4275.831
268435456,1,62855.7,4270.66,62890.427,4268.304
