# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.502 usec; Calculated Bandwidth = 5116.468 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.5,0.0,128.721,0.0
1,1000,0.51,1.97,128.721,0.008
2,1000,0.51,3.93,128.721,0.016
4,1000,0.51,7.83,128.72,0.031
8,1000,0.48,16.55,128.72,0.062
16,1000,0.53,30.38,128.718,0.124
32,1000,0.5,64.12,128.715,0.249
64,1000,0.52,123.55,128.709,0.497
128,1000,0.51,249.82,128.696,0.995
256,1000,0.51,500.06,128.671,1.99
512,1000,0.75,684.31,128.621,3.981
1024,1000,0.83,1228.86,128.521,7.968
2048,1000,0.96,2138.94,128.321,15.96
4096,1000,1.15,3550.48,127.921,32.02
8192,1000,1.58,5172.5,127.12,64.443
16384,1000,2.43,6751.76,125.519,130.53
32768,1000,3.6,9113.6,122.317,267.895
65536,640,5.83,11248.2,115.912,565.393
131072,320,9.01,14539.58,103.103,1271.267
262144,160,15.51,16900.33,77.486,3383.126
524288,80,41.85,12527.34,26.25,19972.578
1048576,40,84.88,12353.41,76.22,13757.176
2097152,20,162.07,12939.64,281.162,7458.883
4194304,10,417.1,10055.97,691.044,6069.514
8388608,5,1043.36,8039.99,1510.81,5552.391
16777216,2,2183.96,7682.03,3150.341,5325.524
33554432,1,6052.07,5544.29,6429.403,5218.903
67108864,1,12521.86,5359.34,12987.527,5167.178
134217728,1,25765.77,5209.15,26103.775,5141.698
268435456,1,52748.7,5088.95,52336.27,5129.052
