# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 1.272 usec; Calculated Bandwidth = 11826.065 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,1.26,0.0,4.04,0.0
1,1000,1.27,0.79,4.04,0.247
2,1000,1.28,1.56,4.04,0.495
4,1000,1.28,3.13,4.041,0.99
8,1000,1.27,6.32,4.041,1.98
16,1000,1.27,12.58,4.042,3.959
32,1000,1.29,24.8,4.043,7.915
64,1000,1.42,44.95,4.046,15.819
128,1000,1.47,87.28,4.051,31.596
256,1000,1.7,150.42,4.062,63.023
512,1000,3.29,155.75,4.084,125.379
1024,1000,1.93,530.86,4.127,248.127
2048,1000,2.58,795.08,4.214,486.056
4096,1000,3.26,1255.67,4.387,933.735
8192,1000,4.17,1966.67,4.733,1730.812
16384,1000,5.81,2819.78,5.426,3019.678
32768,1000,10.05,3260.08,6.811,4810.929
65536,640,13.27,4937.57,9.582,6839.5
131072,320,22.49,5828.49,15.124,8666.694
262144,160,33.26,7881.21,26.207,10002.839
524288,80,55.1,9514.35,48.374,10838.311
1048576,40,98.57,10637.52,92.707,11310.664
2097152,20,185.35,11314.7,181.373,11562.624
4194304,10,353.66,11859.83,358.706,11692.86
