# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 8.376 usec; Calculated Bandwidth = 2737.183 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,8.49,0.0,18.623,0.0
1,1000,8.39,0.12,18.623,0.054
2,1000,8.34,0.24,18.624,0.107
4,1000,8.32,0.48,18.625,0.215
8,1000,8.34,0.96,18.626,0.43
16,1000,8.27,1.93,18.629,0.859
32,1000,8.06,3.97,18.635,1.717
64,1000,8.03,7.97,18.646,3.432
128,1000,8.06,15.88,18.67,6.856
256,1000,8.37,30.57,18.717,13.678
512,1000,10.42,49.13,18.81,27.219
1024,1000,10.73,95.39,18.997,53.903
2048,1000,12.97,157.9,19.371,105.724
4096,1000,14.99,273.29,20.119,203.584
8192,1000,17.67,463.57,21.616,378.98
16384,1000,26.0,630.23,24.609,665.779
32768,1000,36.06,908.61,30.594,1071.043
65536,640,60.0,1092.27,42.566,1539.635
131072,320,110.11,1190.39,66.509,1970.747
262144,160,134.18,1953.65,114.395,2291.578
524288,80,230.22,2277.35,210.166,2494.638
1048576,40,415.36,2524.51,401.709,2610.288
2097152,20,831.43,2522.33,784.795,2672.23
4194304,10,1518.83,2761.54,1550.967,2704.316
