# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.294 usec; Calculated Bandwidth = 13124.325 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.29,0.0,1.104,0.0
1,1000,0.3,3.38,1.103,0.906
2,1000,0.3,6.6,1.103,1.813
4,1000,0.29,13.73,1.103,3.626
8,1000,0.29,27.3,1.103,7.253
16,1000,0.3,53.53,1.102,14.515
32,1000,0.36,88.48,1.101,29.062
64,1000,0.36,177.79,1.099,58.253
128,1000,0.48,269.02,1.094,117.025
256,1000,0.49,517.85,1.084,236.156
512,1000,0.56,908.51,1.065,480.966
1024,1000,0.65,1573.63,1.026,998.526
2048,1000,0.89,2303.05,0.947,2161.503
4096,1000,1.27,3235.18,0.791,5175.358
8192,1000,2.01,4080.71,0.479,17089.79
16384,1000,4.07,4025.87,0.145,113122.649
32768,1000,4.88,6710.93,1.393,23519.905
65536,640,6.55,10006.64,3.89,16847.557
131072,320,8.72,15037.3,8.883,14754.683
262144,160,13.95,18796.33,18.87,13891.832
524288,80,24.73,21200.51,38.844,13497.177
1048576,40,59.42,17646.01,78.792,13308.14
2097152,20,153.74,13641.07,158.688,13215.593
4194304,10,327.78,12796.18,318.479,13169.801
