# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 1.216 usec; Calculated Bandwidth = 8315.604 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,1.19,0.0,2.842,0.0
1,1000,1.22,0.82,2.842,0.352
2,1000,1.22,1.64,2.841,0.704
4,1000,1.25,3.2,2.841,1.408
8,1000,1.2,6.69,2.841,2.816
16,1000,1.28,12.51,2.84,5.634
32,1000,1.28,24.97,2.838,11.276
64,1000,1.21,52.76,2.834,22.583
128,1000,1.32,96.83,2.826,45.29
256,1000,1.37,186.27,2.811,91.076
512,1000,1.38,370.57,2.78,184.169
1024,1000,1.53,667.72,2.718,376.681
2048,1000,1.63,1254.65,2.595,789.106
4096,1000,2.04,2012.25,2.349,1743.678
8192,1000,2.63,3109.63,1.856,4412.63
16384,1000,3.15,5205.71,0.871,18802.932
32768,1000,4.11,7967.68,1.099,29818.415
65536,640,5.98,10954.78,5.039,13004.564
131072,320,9.59,13674.49,12.921,10144.461
262144,160,17.02,15406.57,28.683,9139.439
524288,80,37.11,14126.48,60.207,8708.08
1048576,40,96.53,10862.54,123.256,8507.318
2097152,20,217.57,9639.09,249.353,8410.369
4194304,10,527.77,7947.16,501.548,8362.718
