# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.278 usec; Calculated Bandwidth = 4008.606 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.26,0.0,0.498,0.0
1,1000,0.28,3.53,0.498,2.008
2,1000,0.29,6.99,0.498,4.018
4,1000,0.28,14.04,0.497,8.044
8,1000,0.28,28.14,0.496,16.121
16,1000,0.29,54.32,0.494,32.372
32,1000,0.3,107.98,0.49,65.271
64,1000,0.33,196.63,0.482,132.702
128,1000,0.38,338.33,0.466,274.492
256,1000,0.44,580.54,0.434,589.339
512,1000,0.6,855.04,0.371,1381.833
1024,1000,0.68,1507.1,0.243,4217.512
2048,1000,0.8,2551.88,0.013,161855.699
4096,1000,1.7,2406.71,0.524,7823.452
8192,1000,1.97,4167.34,1.545,5301.045
16384,1000,2.5,6562.14,3.589,4565.112
32768,1000,3.45,9498.47,7.676,4268.798
65536,640,5.44,12051.03,15.851,4134.612
131072,320,9.3,14100.9,32.199,4070.634
262144,160,16.78,15623.83,64.897,4039.382
524288,80,36.97,14181.3,130.292,4023.935
1048576,40,98.12,10686.48,261.083,4016.256
2097152,20,243.78,8602.62,522.664,4012.427
4194304,10,564.49,7430.26,1045.827,4010.515
8388608,5,1721.35,4873.27,2092.152,4009.56
16777216,2,4238.48,3958.31,4184.801,4009.083
33554432,1,8849.38,3791.73,8370.101,4008.844
67108864,1,17595.95,3813.88,16740.7,4008.725
134217728,1,34138.87,3931.52,33481.899,4008.665
268435456,1,66380.9,4043.87,66964.296,4008.636
