# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 1.362 usec; Calculated Bandwidth = 12177.116 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,1.37,0.0,5.209,0.0
1,1000,1.36,0.73,5.209,0.192
2,1000,1.36,1.48,5.209,0.384
4,1000,1.36,2.95,5.209,0.768
8,1000,1.36,5.89,5.209,1.536
16,1000,1.36,11.78,5.21,3.071
32,1000,1.38,23.11,5.211,6.14
64,1000,1.68,38.01,5.214,12.275
128,1000,1.72,74.25,5.219,24.525
256,1000,2.0,128.16,5.23,48.951
512,1000,2.07,247.81,5.251,97.51
1024,1000,2.34,437.78,5.293,193.471
2048,1000,2.99,685.54,5.377,380.891
4096,1000,3.92,1046.03,5.545,738.676
8192,1000,5.48,1495.98,5.881,1392.86
16384,1000,7.25,2260.68,6.554,2499.787
32768,1000,10.06,3258.34,7.9,4148.04
65536,640,14.43,4542.83,10.591,6188.139
131072,320,23.54,5569.11,15.972,8206.114
262144,160,33.15,7906.63,26.736,9804.806
524288,80,58.12,9021.01,48.264,10862.95
1048576,40,98.82,10611.12,91.319,11482.554
2097152,20,184.63,11358.55,177.429,11819.64
4194304,10,355.81,11787.89,349.65,11995.716
8388608,5,697.36,12029.13,694.092,12085.735
16777216,2,1383.08,12130.32,1382.975,12131.254
33554432,1,2760.47,12155.32,2760.741,12154.142
67108864,1,5509.23,12181.17,5516.272,12165.618
134217728,1,11024.93,12174.02,11027.336,12171.365
268435456,1,22052.14,12172.76,22049.463,12174.24
