# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.554 usec; Calculated Bandwidth = 3158.508 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.53,0.0,107.296,0.0
1,1000,0.56,1.78,107.295,0.009
2,1000,0.56,3.54,107.295,0.019
4,1000,0.56,7.11,107.294,0.037
8,1000,0.56,14.37,107.293,0.075
16,1000,0.61,26.12,107.291,0.149
32,1000,0.65,49.02,107.286,0.298
64,1000,0.76,83.9,107.275,0.597
128,1000,0.87,146.96,107.255,1.193
256,1000,1.06,242.56,107.215,2.388
512,1000,1.24,414.13,107.134,4.779
1024,1000,1.39,737.25,106.972,9.573
2048,1000,1.88,1090.3,106.647,19.203
4096,1000,2.73,1500.67,105.999,38.642
8192,1000,3.06,2677.51,104.702,78.241
16384,1000,3.71,4422.05,102.109,160.457
32768,1000,4.56,7180.77,96.921,338.089
65536,640,6.51,10069.62,86.547,757.233
131072,320,10.23,12810.64,65.798,1992.046
262144,160,17.79,14736.56,24.3,10787.996
524288,80,37.98,13802.77,58.697,8932.176
1048576,40,99.76,10511.09,224.689,4666.791
2097152,20,245.91,8528.19,556.674,3767.293
4194304,10,499.72,8393.23,1220.643,3436.144
8388608,5,1237.58,6778.24,2548.581,3291.481
16777216,2,4231.89,3964.47,5204.458,3223.624
33554432,1,10785.26,3111.14,10516.213,3190.734
67108864,1,21948.29,3057.59,21139.721,3174.539
134217728,1,43313.67,3098.74,42386.738,3166.503
268435456,1,84297.38,3184.39,84880.771,3162.5
