# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.418 usec; Calculated Bandwidth = 4968.399 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.42,0.0,74.465,0.0
1,1000,0.41,2.42,74.465,0.013
2,1000,0.42,4.79,74.464,0.027
4,1000,0.42,9.59,74.464,0.054
8,1000,0.42,19.15,74.463,0.107
16,1000,0.42,38.18,74.462,0.215
32,1000,0.56,56.66,74.458,0.43
64,1000,0.57,111.41,74.452,0.86
128,1000,1.01,126.11,74.439,1.72
256,1000,1.05,244.36,74.413,3.44
512,1000,1.18,433.62,74.362,6.885
1024,1000,1.38,740.7,74.259,13.79
2048,1000,2.06,992.13,74.053,27.656
4096,1000,2.95,1386.93,73.64,55.622
8192,1000,4.67,1755.2,72.816,112.503
16384,1000,7.08,2314.61,71.167,230.219
32768,1000,12.66,2587.38,67.87,482.809
65536,640,23.8,2753.34,61.274,1069.553
131072,320,44.49,2945.85,48.084,2725.916
262144,160,14.91,17580.6,21.703,12078.968
524288,80,26.16,20044.68,31.06,16879.978
1048576,40,59.92,17499.81,136.584,7677.134
2097152,20,161.39,12994.7,347.633,6032.654
4194304,10,351.5,11932.7,769.732,5449.048
8388608,5,772.29,10861.98,1613.928,5197.635
16777216,2,2415.51,6945.63,3302.321,5080.432
33554432,1,6806.55,4929.72,6679.106,5023.791
67108864,1,14119.14,4753.04,13432.677,4995.941
134217728,1,27326.96,4911.55,26939.819,4982.132
268435456,1,53662.89,5002.25,53954.102,4975.256
