# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong -msglog 28
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.412 usec; Calculated Bandwidth = 4981.419 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.42,0.0,74.072,0.0
1,1000,0.41,2.41,74.071,0.014
2,1000,0.41,4.83,74.071,0.027
4,1000,0.41,9.68,74.071,0.054
8,1000,0.41,19.34,74.07,0.108
16,1000,0.42,38.52,74.068,0.216
32,1000,0.57,55.99,74.065,0.432
64,1000,0.58,111.0,74.059,0.864
128,1000,1.05,121.94,74.046,1.729
256,1000,1.08,236.36,74.02,3.459
512,1000,1.19,428.47,73.969,6.922
1024,1000,1.44,711.98,73.866,13.863
2048,1000,2.08,985.45,73.66,27.803
4096,1000,2.94,1390.86,73.249,55.919
8192,1000,4.64,1767.07,72.427,113.107
16384,1000,7.12,2300.04,70.783,231.47
32768,1000,12.89,2542.85,67.493,485.499
65536,640,23.2,2824.83,60.915,1075.852
131072,320,43.47,3015.37,47.759,2744.426
262144,160,14.92,17573.06,21.447,12222.774
524288,80,26.8,19565.88,31.177,16816.402
1048576,40,59.87,17514.27,136.426,7686.048
2097152,20,160.49,13067.12,346.923,6045.001
4194304,10,350.18,11977.63,767.918,5461.915
8388608,5,765.52,10957.98,1609.908,5210.613
16777216,2,2431.76,6899.22,3293.887,5093.439
33554432,1,6775.82,4952.08,6661.846,5036.807
67108864,1,13952.23,4809.9,13397.764,5008.96
134217728,1,27453.14,4888.98,26869.6,4995.152
268435456,1,53457.08,5021.51,53813.272,4988.276
