# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.54,0.00
1,1000,8.60,0.12
2,1000,8.63,0.23
4,1000,8.64,0.46
8,1000,8.63,0.93
16,1000,8.65,1.85
32,1000,8.61,3.71
64,1000,8.64,7.41
128,1000,8.96,14.29
256,1000,8.99,28.49
512,1000,9.05,56.55
1024,1000,10.26,99.80
2048,1000,9.48,216.12
4096,1000,11.52,355.44
8192,1000,12.26,668.31
16384,1000,16.68,982.43
32768,1000,27.17,1206.14
65536,640,62.52,1048.24
131072,320,84.38,1553.43
262144,160,118.07,2220.18
524288,80,188.52,2781.13
1048576,40,333.33,3145.76
2097152,20,643.60,3258.46
4194304,10,1330.14,3153.28
