# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 4.988 usec; Calculated Bandwidth = 6614.638 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,4.92,0.0,5.983,0.0
1,1000,5.01,0.2,5.983,0.167
2,1000,5.01,0.4,5.983,0.334
4,1000,5.0,0.8,5.983,0.669
8,1000,5.0,1.6,5.984,1.337
16,1000,5.0,3.2,5.985,2.673
32,1000,5.01,6.38,5.987,5.345
64,1000,5.03,12.73,5.992,10.68
128,1000,5.07,25.23,6.002,21.327
256,1000,5.12,50.02,6.021,42.516
512,1000,5.17,99.11,6.06,84.489
1024,1000,5.76,177.68,6.137,166.846
2048,1000,5.54,369.69,6.292,325.483
4096,1000,6.43,636.77,6.602,620.436
8192,1000,6.94,1180.48,7.221,1134.463
16384,1000,9.02,1815.58,8.46,1936.757
32768,1000,14.53,2255.83,10.936,2996.224
65536,640,29.41,2228.68,15.89,4124.279
131072,320,36.68,3573.14,25.798,5080.701
262144,160,50.59,5182.12,45.613,5747.076
524288,80,85.9,6103.52,85.244,6150.414
1048576,40,146.76,7145.03,164.506,6374.085
2097152,20,307.63,6817.22,323.03,6492.134
4194304,10,651.24,6440.47,640.077,6552.814
