# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.28 usec; Calculated Bandwidth = 8078.949 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.27,0.0,3.675,0.0
1,1000,0.28,3.55,3.675,0.272
2,1000,0.28,7.22,3.675,0.544
4,1000,0.28,14.45,3.674,1.089
8,1000,0.29,27.43,3.674,2.177
16,1000,0.29,55.14,3.673,4.356
32,1000,0.29,108.84,3.671,8.717
64,1000,0.32,200.42,3.667,17.453
128,1000,0.38,333.13,3.659,34.981
256,1000,0.42,603.42,3.643,70.267
512,1000,0.59,871.82,3.612,141.766
1024,1000,0.67,1518.98,3.548,288.596
2048,1000,0.83,2470.16,3.421,598.575
4096,1000,1.69,2417.19,3.168,1292.945
8192,1000,1.97,4155.86,2.661,3078.582
16384,1000,2.49,6583.17,1.647,9947.952
32768,1000,3.44,9534.61,0.381,86001.989
65536,640,5.41,12116.98,4.437,14770.382
131072,320,9.21,14232.5,12.549,10444.871
262144,160,16.89,15521.57,28.773,9110.818
524288,80,36.61,14319.99,61.221,8563.913
1048576,40,97.01,10809.12,126.116,8314.365
2097152,20,231.3,9066.81,255.907,8194.967
4194304,10,538.92,7782.83,515.49,8136.544
