# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 15.712 usec; Calculated Bandwidth = 1854.984 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,15.73,0.0,31.859,0.0
1,1000,15.73,0.06,31.859,0.031
2,1000,15.69,0.13,31.86,0.063
4,1000,15.71,0.25,31.861,0.126
8,1000,15.7,0.51,31.863,0.251
16,1000,15.74,1.02,31.867,0.502
32,1000,15.82,2.02,31.876,1.004
64,1000,15.9,4.02,31.893,2.007
128,1000,16.54,7.74,31.928,4.009
256,1000,16.34,15.66,31.997,8.001
512,1000,16.6,30.85,32.135,15.933
1024,1000,16.98,60.29,32.411,31.594
2048,1000,38.69,52.94,32.963,62.131
4096,1000,39.26,104.34,34.067,120.234
8192,1000,39.71,206.27,36.275,225.83
16384,1000,41.56,394.23,40.691,402.642
32768,1000,49.05,667.99,49.524,661.664
65536,640,147.04,445.7,67.188,975.405
131072,320,174.85,749.63,102.518,1278.525
262144,160,240.25,1091.11,173.178,1513.73
524288,80,352.21,1488.56,314.496,1667.072
1048576,40,573.68,1827.81,597.134,1756.015
2097152,20,1060.85,1976.87,1162.409,1804.144
4194304,10,2337.18,1794.6,2292.958,1829.211
