# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.558 usec; Calculated Bandwidth = 8834.161 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.53,0.0,1.414,0.0
1,1000,0.56,1.78,1.414,0.707
2,1000,0.56,3.56,1.414,1.414
4,1000,0.57,6.98,1.414,2.829
8,1000,0.57,14.0,1.413,5.66
16,1000,0.6,26.6,1.413,11.327
32,1000,0.67,47.86,1.411,22.683
64,1000,0.76,83.91,1.407,45.483
128,1000,0.96,133.04,1.4,91.437
256,1000,1.04,245.28,1.385,184.787
512,1000,1.23,416.36,1.356,377.469
1024,1000,1.61,636.48,1.298,788.636
2048,1000,1.9,1077.89,1.183,1731.878
4096,1000,2.71,1509.12,0.951,4308.387
8192,1000,3.0,2731.77,0.487,16819.66
16384,1000,3.57,4588.19,0.44,37214.357
32768,1000,4.55,7208.87,2.295,14278.75
65536,640,6.51,10073.29,6.004,10915.179
131072,320,10.14,12922.67,13.423,9765.03
262144,160,18.8,13946.39,28.26,9276.301
524288,80,37.81,13866.61,57.933,9049.834
1048576,40,99.56,10532.43,117.281,8940.697
2097152,20,236.93,8851.54,235.977,8887.11
4194304,10,480.48,8729.48,473.368,8860.557
