# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pg-gnode001.hpc, ct1pg-gnode003.hpc
# Calculated Latency = 0.41 usec; Calculated Bandwidth = 13241.963 MBytes/sec 
#bytes,#repetitions,t[usec],Mbytes/sec,t[usec] computed,Mbytes/sec (computed)
0,1000,0.41,0.0,2.303,0.0
1,1000,0.41,2.43,2.303,0.434
2,1000,0.41,4.85,2.303,0.869
4,1000,0.41,9.66,2.303,1.737
8,1000,0.41,19.42,2.303,3.473
16,1000,0.41,38.74,2.304,6.945
32,1000,0.56,56.93,2.305,13.883
64,1000,0.58,111.3,2.307,27.736
128,1000,1.04,123.64,2.312,55.356
256,1000,1.08,237.74,2.322,110.251
512,1000,1.21,424.6,2.341,218.682
1024,1000,1.39,734.79,2.38,430.258
2048,1000,2.06,994.82,2.457,833.435
4096,1000,2.94,1395.07,2.612,1568.172
8192,1000,4.61,1777.16,2.921,2804.252
16384,1000,7.01,2338.35,3.54,4628.356
32768,1000,12.6,2600.46,4.777,6859.253
65536,640,22.93,2858.54,7.252,9037.262
131072,320,43.09,3041.99,12.201,10742.841
262144,160,14.71,17818.34,22.099,11862.203
524288,80,26.35,19897.34,41.896,12514.166
1048576,40,59.63,17583.73,81.488,12867.782
2097152,20,157.07,13351.66,160.674,13052.191
4194304,10,327.43,12809.6,319.046,13146.392
