# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.35
2,1000,0.42,4.72
4,1000,0.43,9.37
8,1000,0.43,18.63
16,1000,0.43,37.52
32,1000,0.46,69.07
64,1000,0.47,137.08
128,1000,0.57,222.91
256,1000,0.63,406.90
512,1000,0.82,623.24
1024,1000,0.88,1167.85
2048,1000,1.03,1984.17
4096,1000,1.48,2767.21
8192,1000,1.92,4271.90
16384,1000,3.22,5088.30
32768,1000,5.04,6501.77
65536,640,9.16,7158.30
131072,320,17.71,7402.13
262144,160,34.02,7705.73
524288,80,81.59,6425.81
1048576,40,166.20,6308.98
2097152,20,329.83,6358.25
4194304,10,656.06,6393.22
