# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.65,0.00
1,1000,0.65,1.54
2,1000,0.66,3.04
4,1000,0.67,6.00
8,1000,0.68,11.75
16,1000,0.67,24.05
32,1000,0.70,46.04
64,1000,0.68,93.56
128,1000,0.74,173.72
256,1000,0.70,367.53
512,1000,1.11,459.52
1024,1000,1.18,866.47
2048,1000,1.31,1563.44
4096,1000,1.78,2302.48
8192,1000,2.14,3819.47
16384,1000,3.25,5039.49
32768,1000,5.29,6191.36
65536,640,9.40,6972.94
131072,320,17.83,7351.97
262144,160,34.86,7519.56
524288,80,83.00,6316.68
1048576,40,167.68,6253.32
2097152,20,331.60,6324.35
4194304,10,657.54,6378.77
