# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.34
2,1000,0.42,4.72
4,1000,0.43,9.40
8,1000,0.43,18.81
16,1000,0.43,37.65
32,1000,0.46,69.48
64,1000,0.47,137.56
128,1000,0.58,222.50
256,1000,0.63,408.17
512,1000,0.78,652.24
1024,1000,0.88,1157.11
2048,1000,1.01,2018.39
4096,1000,1.47,2778.14
8192,1000,1.90,4311.62
16384,1000,3.25,5038.86
32768,1000,4.99,6569.28
65536,640,9.29,7054.06
131072,320,17.69,7410.42
262144,160,34.11,7684.70
524288,80,81.79,6410.39
1048576,40,166.32,6304.65
2097152,20,329.78,6359.23
4194304,10,657.60,6378.24
