# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.42,2.38
2,1000,0.42,4.73
4,1000,0.42,9.45
8,1000,0.42,18.89
16,1000,0.42,37.82
32,1000,0.46,69.25
64,1000,0.46,139.57
128,1000,0.58,220.78
256,1000,0.61,416.91
512,1000,0.84,606.68
1024,1000,0.88,1157.43
2048,1000,1.06,1935.09
4096,1000,1.53,2668.63
8192,1000,1.92,4257.91
16384,1000,3.20,5117.18
32768,1000,5.11,6409.23
65536,640,9.28,7060.66
131072,320,17.83,7352.43
262144,160,34.27,7650.47
524288,80,81.83,6406.66
1048576,40,166.29,6305.79
2097152,20,329.89,6357.16
4194304,10,655.65,6397.17
