# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.12,0.00
1,1000,1.13,0.89
2,1000,1.13,1.77
4,1000,1.13,3.53
8,1000,1.13,7.09
16,1000,1.13,14.19
32,1000,1.15,27.80
64,1000,1.34,47.83
128,1000,1.38,92.91
256,1000,1.64,156.14
512,1000,1.72,298.12
1024,1000,3.31,308.95
2048,1000,2.54,807.68
4096,1000,3.40,1203.49
8192,1000,4.40,1861.12
16384,1000,6.10,2687.26
32768,1000,9.78,3350.29
65536,640,12.74,5142.17
131072,320,21.56,6079.99
262144,160,32.68,8022.73
524288,80,55.31,9478.55
1048576,40,96.83,10828.51
2097152,20,183.81,11409.42
4194304,10,353.54,11863.89
