# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.38
2,1000,0.23,8.85
4,1000,0.23,17.65
8,1000,0.23,35.27
16,1000,0.23,70.27
32,1000,0.25,129.81
64,1000,0.25,256.08
128,1000,0.26,486.80
256,1000,0.28,902.88
512,1000,0.44,1152.44
1024,1000,0.44,2339.25
2048,1000,0.59,3448.67
4096,1000,0.85,4810.81
8192,1000,1.43,5739.63
16384,1000,2.38,6880.21
32768,1000,3.58,9155.09
65536,640,5.73,11436.12
131072,320,8.86,14801.89
262144,160,15.15,17308.28
524288,80,42.03,12474.27
1048576,40,82.46,12715.50
2097152,20,156.04,13439.76
4194304,10,399.99,10486.04
