# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.46
2,1000,0.22,8.96
4,1000,0.22,17.83
8,1000,0.26,30.77
16,1000,0.23,71.06
32,1000,0.24,133.61
64,1000,0.24,266.07
128,1000,0.26,496.46
256,1000,0.28,911.33
512,1000,0.42,1229.41
1024,1000,0.44,2324.55
2048,1000,0.59,3476.54
4096,1000,0.86,4783.02
8192,1000,1.44,5705.94
16384,1000,2.40,6837.68
32768,1000,3.65,8982.16
65536,640,5.78,11330.36
131072,320,8.78,14933.21
262144,160,15.17,17278.98
524288,80,41.64,12590.30
1048576,40,82.20,12756.24
2097152,20,155.63,13475.54
4194304,10,386.34,10856.44
