# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.24,0.00
1,1000,0.24,4.22
2,1000,0.24,8.43
4,1000,0.25,16.27
8,1000,0.24,33.44
16,1000,0.24,65.60
32,1000,0.29,111.75
64,1000,0.29,221.35
128,1000,0.36,360.12
256,1000,0.41,624.81
512,1000,0.45,1146.80
1024,1000,0.56,1817.39
2048,1000,0.81,2516.83
4096,1000,1.20,3403.06
8192,1000,1.98,4140.28
16384,1000,3.74,4385.92
32768,1000,4.33,7568.11
65536,640,6.00,10927.56
131072,320,8.13,16128.75
262144,160,12.47,21028.74
524288,80,21.78,24067.77
1048576,40,49.25,21292.00
2097152,20,139.86,14994.25
4194304,10,294.42,14246.13
