# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.42,0.00
1,1000,0.43,2.34
2,1000,0.42,4.74
4,1000,0.43,9.39
8,1000,0.42,18.82
16,1000,0.43,37.62
32,1000,0.46,69.27
64,1000,0.46,139.27
128,1000,0.57,222.70
256,1000,0.63,408.66
512,1000,0.81,633.39
1024,1000,0.87,1170.39
2048,1000,1.04,1968.75
4096,1000,1.46,2796.47
8192,1000,1.91,4285.97
16384,1000,3.24,5054.29
32768,1000,5.01,6536.71
65536,640,9.20,7120.02
131072,320,17.82,7357.33
262144,160,34.09,7690.39
524288,80,81.82,6408.21
1048576,40,166.18,6310.06
2097152,20,330.82,6339.30
4194304,10,656.42,6389.62
