# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.45,0.00
1,1000,9.23,0.11
2,1000,9.21,0.22
4,1000,9.23,0.43
8,1000,9.09,0.88
16,1000,9.26,1.73
32,1000,8.13,3.94
64,1000,8.14,7.87
128,1000,8.23,15.56
256,1000,8.41,30.42
512,1000,10.75,47.61
1024,1000,11.10,92.28
2048,1000,13.41,152.77
4096,1000,14.29,286.63
8192,1000,16.26,503.69
16384,1000,26.72,613.23
32768,1000,37.33,877.71
65536,640,64.38,1017.99
131072,320,120.30,1089.55
262144,160,149.51,1753.33
524288,80,220.59,2376.74
1048576,40,368.02,2849.24
2097152,20,669.87,3130.69
4194304,10,1291.22,3248.33
