# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,5.18,0.00
1,1000,5.25,0.19
2,1000,5.25,0.38
4,1000,5.24,0.76
8,1000,5.27,1.52
16,1000,5.25,3.05
32,1000,5.23,6.12
64,1000,5.25,12.19
128,1000,5.32,24.04
256,1000,5.38,47.63
512,1000,5.41,94.71
1024,1000,5.92,173.06
2048,1000,5.84,350.67
4096,1000,6.73,608.68
8192,1000,7.25,1129.43
16384,1000,9.50,1725.42
32768,1000,15.22,2152.96
65536,640,28.59,2292.50
131072,320,38.57,3398.19
262144,160,53.08,4938.88
524288,80,84.94,6172.78
1048576,40,149.18,7029.01
2097152,20,280.87,7466.60
4194304,10,590.67,7100.94
