# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,8.05,0.00
1,1000,8.12,0.12
2,1000,8.14,0.25
4,1000,8.14,0.49
8,1000,8.13,0.98
16,1000,8.16,1.96
32,1000,8.12,3.94
64,1000,8.18,7.82
128,1000,8.54,14.98
256,1000,8.57,29.88
512,1000,8.61,59.44
1024,1000,9.73,105.22
2048,1000,9.16,223.70
4096,1000,11.01,372.07
8192,1000,11.57,708.27
16384,1000,15.63,1048.32
32768,1000,25.81,1269.38
65536,640,57.34,1142.96
131072,320,77.53,1690.64
262144,160,111.21,2357.24
524288,80,170.81,3069.44
1048576,40,299.15,3505.13
2097152,20,591.98,3542.58
4194304,10,1209.38,3468.15
