# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.20,5.02
2,1000,0.18,11.00
4,1000,0.18,21.98
8,1000,0.18,43.33
16,1000,0.18,87.29
32,1000,0.22,144.01
64,1000,0.22,294.77
128,1000,0.31,408.76
256,1000,0.33,782.37
512,1000,0.39,1320.96
1024,1000,0.49,2091.49
2048,1000,0.74,2768.59
4096,1000,1.12,3667.93
8192,1000,1.86,4395.02
16384,1000,2.95,5545.09
32768,1000,4.80,6827.55
65536,640,8.29,7907.31
131072,320,15.04,8712.21
262144,160,13.04,20110.43
524288,80,24.79,21149.98
1048576,40,54.25,19330.03
2097152,20,144.09,14554.28
4194304,10,309.95,13532.29
