# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.39,0.00
1,1000,0.40,2.53
2,1000,0.39,5.14
4,1000,0.39,10.25
8,1000,0.40,19.97
16,1000,0.39,40.67
32,1000,0.55,57.81
64,1000,0.55,117.24
128,1000,0.88,145.33
256,1000,0.89,286.49
512,1000,1.14,447.72
1024,1000,1.32,776.83
2048,1000,2.08,984.12
4096,1000,2.95,1387.83
8192,1000,4.74,1726.54
16384,1000,7.39,2216.52
32768,1000,12.86,2548.51
65536,640,24.36,2690.74
131072,320,45.90,2855.56
262144,160,14.47,18118.52
524288,80,28.19,18601.36
1048576,40,58.30,17985.64
2097152,20,149.87,13993.43
4194304,10,307.68,13631.87
