# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.55,0.00
1,1000,1.54,0.65
2,1000,1.56,1.28
4,1000,1.57,2.55
8,1000,1.55,5.16
16,1000,1.55,10.31
32,1000,1.53,20.87
64,1000,1.61,39.87
128,1000,1.80,71.00
256,1000,1.91,133.89
512,1000,1.97,259.62
1024,1000,2.06,497.39
2048,1000,2.39,857.32
4096,1000,3.62,1130.01
8192,1000,3.94,2079.30
16384,1000,4.49,3651.17
32768,1000,5.23,6266.04
65536,640,6.65,9856.85
131072,320,9.52,13771.20
262144,160,15.96,16422.90
524288,80,29.97,17490.90
1048576,40,82.50,12710.67
2097152,20,203.11,10325.24
4194304,10,402.09,10431.14
