# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.28,0.00
1,1000,0.27,3.69
2,1000,0.27,7.35
4,1000,0.27,14.83
8,1000,0.27,29.22
16,1000,0.27,58.48
32,1000,0.29,108.64
64,1000,0.28,229.66
128,1000,0.29,437.04
256,1000,0.31,820.55
512,1000,0.45,1133.02
1024,1000,0.49,2106.38
2048,1000,0.64,3198.39
4096,1000,0.92,4442.27
8192,1000,1.41,5797.63
16384,1000,2.35,6970.90
32768,1000,3.49,9383.62
65536,640,5.66,11568.59
131072,320,8.78,14925.61
262144,160,15.01,17467.13
524288,80,41.66,12586.24
1048576,40,82.15,12764.61
2097152,20,155.55,13482.31
4194304,10,394.13,10642.03
