# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=mlx -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.43,0.00
1,1000,0.43,2.32
2,1000,0.43,4.64
4,1000,0.43,9.28
8,1000,0.43,18.71
16,1000,0.43,37.22
32,1000,0.47,68.55
64,1000,0.47,137.58
128,1000,0.57,225.27
256,1000,0.61,418.85
512,1000,0.81,630.12
1024,1000,0.88,1166.14
2048,1000,1.04,1970.85
4096,1000,1.52,2699.64
8192,1000,1.94,4223.96
16384,1000,3.28,4999.53
32768,1000,5.04,6505.00
65536,640,9.07,7227.31
131072,320,17.77,7375.82
262144,160,34.12,7683.77
524288,80,81.82,6407.70
1048576,40,166.81,6286.14
2097152,20,331.18,6332.34
4194304,10,658.36,6370.82
