# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,7.79,0.00
1,1000,7.74,0.13
2,1000,7.74,0.26
4,1000,7.71,0.52
8,1000,7.73,1.04
16,1000,7.68,2.08
32,1000,7.74,4.13
64,1000,8.08,7.92
128,1000,7.93,16.14
256,1000,7.96,32.15
512,1000,9.75,52.50
1024,1000,9.95,102.92
2048,1000,10.36,197.60
4096,1000,11.47,357.25
8192,1000,13.19,621.24
16384,1000,23.08,709.85
32768,1000,33.00,993.09
65536,640,54.38,1205.14
131072,320,101.20,1295.13
262144,160,112.41,2332.07
524288,80,173.60,3020.17
1048576,40,306.69,3419.06
2097152,20,610.23,3436.68
4194304,10,1207.56,3473.36
