# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,11.65,0.00
1,1000,11.35,0.09
2,1000,11.30,0.18
4,1000,11.38,0.35
8,1000,11.30,0.71
16,1000,11.30,1.42
32,1000,11.33,2.82
64,1000,11.38,5.62
128,1000,11.45,11.18
256,1000,26.56,9.64
512,1000,33.46,15.30
1024,1000,45.77,22.37
2048,1000,20.30,100.88
4096,1000,33.18,123.44
8192,1000,32.39,252.95
16384,1000,36.79,445.30
32768,1000,45.32,722.97
65536,640,56.45,1160.86
131072,320,115.55,1134.36
262144,160,157.99,1659.25
524288,80,245.46,2135.98
1048576,40,434.04,2415.84
2097152,20,806.71,2599.63
4194304,10,1548.76,2708.18
