# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,1.53,0.00
1,1000,1.54,0.65
2,1000,1.49,1.34
4,1000,1.55,2.57
8,1000,1.51,5.29
16,1000,1.49,10.71
32,1000,1.45,22.12
64,1000,1.50,42.79
128,1000,1.38,92.55
256,1000,1.49,171.54
512,1000,1.55,331.05
1024,1000,1.58,647.25
2048,1000,1.78,1151.37
4096,1000,2.15,1908.09
8192,1000,2.53,3233.49
16384,1000,3.00,5460.52
32768,1000,3.74,8770.37
65536,640,5.31,12349.47
131072,320,8.10,16186.37
262144,160,14.08,18619.06
524288,80,28.08,18671.14
1048576,40,80.62,13006.82
2097152,20,202.41,10361.07
4194304,10,402.87,10411.12
