# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.52,0.00
1,1000,0.51,1.96
2,1000,0.51,3.89
4,1000,0.52,7.71
8,1000,0.51,15.54
16,1000,0.53,30.12
32,1000,0.57,56.28
64,1000,0.58,109.96
128,1000,0.58,219.40
256,1000,0.57,451.13
512,1000,0.74,696.58
1024,1000,0.75,1374.49
2048,1000,0.93,2194.77
4096,1000,1.14,3607.56
8192,1000,1.53,5362.37
16384,1000,2.29,7141.74
32768,1000,3.50,9366.37
65536,640,5.73,11430.00
131072,320,8.78,14920.33
262144,160,15.10,17358.82
524288,80,42.33,12384.83
1048576,40,82.79,12664.85
2097152,20,155.51,13485.59
4194304,10,396.17,10587.13
