# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=tcp -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.49
2,1000,0.22,9.00
4,1000,0.22,17.91
8,1000,0.22,35.80
16,1000,0.22,71.34
32,1000,0.24,134.16
64,1000,0.24,267.04
128,1000,0.28,455.56
256,1000,0.28,914.33
512,1000,0.42,1228.64
1024,1000,0.45,2252.53
2048,1000,0.59,3463.01
4096,1000,0.83,4919.41
8192,1000,1.45,5639.17
16384,1000,2.44,6715.63
32768,1000,3.61,9076.74
65536,640,5.81,11273.52
131072,320,8.78,14925.23
262144,160,15.29,17143.48
524288,80,41.88,12517.77
1048576,40,82.45,12718.20
2097152,20,155.34,13500.82
4194304,10,389.70,10762.96
