# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,1 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.45,0.00
1,1000,0.46,2.19
2,1000,0.46,4.38
4,1000,0.46,8.74
8,1000,0.46,17.52
16,1000,0.46,34.86
32,1000,0.48,66.21
64,1000,0.48,132.46
128,1000,0.57,224.40
256,1000,0.63,407.42
512,1000,0.88,584.60
1024,1000,0.94,1094.50
2048,1000,1.10,1866.51
4096,1000,1.51,2718.18
8192,1000,2.01,4077.51
16384,1000,3.23,5067.26
32768,1000,5.21,6291.12
65536,640,9.37,6994.31
131072,320,17.82,7354.73
262144,160,34.28,7646.63
524288,80,82.11,6384.87
1048576,40,167.02,6278.28
2097152,20,331.08,6334.18
4194304,10,656.10,6392.78
