# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,6.57,0.00
1,1000,6.48,0.15
2,1000,6.45,0.31
4,1000,6.49,0.62
8,1000,6.46,1.24
16,1000,6.48,2.47
32,1000,6.46,4.95
64,1000,6.49,9.87
128,1000,6.52,19.64
256,1000,10.57,24.22
512,1000,11.90,43.01
1024,1000,15.20,67.39
2048,1000,13.30,154.03
4096,1000,13.73,298.36
8192,1000,13.81,593.14
16384,1000,14.26,1148.61
32768,1000,15.34,2136.49
65536,640,22.89,2863.66
131072,320,29.14,4497.59
262144,160,46.64,5620.06
524288,80,87.93,5962.78
1048576,40,173.36,6048.57
2097152,20,269.13,7792.48
4194304,10,794.61,5278.42
