# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=sockets -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.48
2,1000,0.22,9.00
4,1000,0.22,17.89
8,1000,0.22,35.84
16,1000,0.23,71.11
32,1000,0.24,133.98
64,1000,0.24,267.41
128,1000,0.26,496.16
256,1000,0.28,908.83
512,1000,0.42,1207.35
1024,1000,0.43,2360.76
2048,1000,0.59,3485.51
4096,1000,0.83,4909.76
8192,1000,1.46,5598.10
16384,1000,2.37,6912.53
32768,1000,3.61,9072.08
65536,640,5.74,11422.36
131072,320,8.76,14960.77
262144,160,15.13,17321.27
524288,80,41.67,12582.22
1048576,40,82.36,12731.37
2097152,20,155.87,13454.41
4194304,10,398.01,10538.24
