# Command used - mpiexec -np 2 -ppn=1 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=ofi -genv I_MPI_OFI_PROVIDER=tcp ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,9.03,0.00
1,1000,9.00,0.11
2,1000,8.79,0.23
4,1000,8.76,0.46
8,1000,9.04,0.88
16,1000,8.70,1.84
32,1000,8.76,3.65
64,1000,8.74,7.32
128,1000,8.80,14.54
256,1000,8.84,28.96
512,1000,11.38,45.00
1024,1000,11.65,87.87
2048,1000,14.07,145.53
4096,1000,15.31,267.61
8192,1000,17.49,468.30
16384,1000,28.58,573.33
32768,1000,41.09,797.50
65536,640,70.48,929.85
131072,320,132.10,992.23
262144,160,150.78,1738.57
524288,80,232.54,2254.66
1048576,40,384.95,2723.96
2097152,20,683.87,3066.61
4194304,10,1299.79,3226.91
