# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm:ofi -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.23,4.38
2,1000,0.23,8.68
4,1000,0.23,17.42
8,1000,0.23,35.03
16,1000,0.23,68.38
32,1000,0.25,127.76
64,1000,0.25,253.48
128,1000,0.27,478.82
256,1000,0.28,908.62
512,1000,0.42,1225.00
1024,1000,0.45,2289.56
2048,1000,0.61,3377.60
4096,1000,0.86,4785.96
8192,1000,1.43,5712.24
16384,1000,2.39,6865.66
32768,1000,3.54,9261.35
65536,640,5.74,11413.85
131072,320,8.79,14919.91
262144,160,15.13,17326.44
524288,80,41.83,12532.57
1048576,40,82.35,12733.37
2097152,20,157.92,13279.44
4194304,10,383.10,10948.47
