# Command used - mpiexec -np 2 -env I_MPI_DEBUG 5 -genv I_MPI_FABRICS=shm -genv I_MPI_OFI_PROVIDER=shm -genv I_MPI_PIN_PROCESSOR_LIST 0,2 ./IMB-MPI1_intel PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.22,0.00
1,1000,0.22,4.50
2,1000,0.22,9.04
4,1000,0.22,17.99
8,1000,0.22,35.96
16,1000,0.22,71.51
32,1000,0.24,134.28
64,1000,0.24,267.86
128,1000,0.25,503.88
256,1000,0.28,915.14
512,1000,0.44,1167.60
1024,1000,0.44,2318.29
2048,1000,0.59,3450.83
4096,1000,0.83,4912.96
8192,1000,1.46,5607.91
16384,1000,2.37,6904.53
32768,1000,3.56,9193.74
65536,640,5.74,11414.21
131072,320,8.78,14921.51
262144,160,15.12,17338.74
524288,80,40.99,12791.06
1048576,40,82.03,12782.55
2097152,20,155.95,13447.45
4194304,10,389.78,10760.61
