# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.18,5.45
2,1000,0.18,10.89
4,1000,0.18,21.65
8,1000,0.19,42.83
16,1000,0.18,86.70
32,1000,0.22,144.04
64,1000,0.22,292.91
128,1000,0.30,421.93
256,1000,0.34,758.65
512,1000,0.40,1288.20
1024,1000,0.49,2074.06
2048,1000,0.74,2750.42
4096,1000,1.12,3661.87
8192,1000,1.87,4389.48
16384,1000,3.00,5469.13
32768,1000,4.88,6719.21
65536,640,8.32,7880.15
131072,320,15.24,8598.69
262144,160,14.31,18322.51
524288,80,26.21,20005.85
1048576,40,55.20,18995.28
2097152,20,145.03,14460.52
4194304,10,303.67,13812.20
