# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.53,0.00
1,1000,0.60,1.68
2,1000,0.60,3.32
4,1000,0.59,6.82
8,1000,0.59,13.60
16,1000,0.65,24.79
32,1000,0.69,46.58
64,1000,0.82,78.04
128,1000,1.07,119.86
256,1000,1.16,220.44
512,1000,1.16,439.56
1024,1000,1.37,749.93
2048,1000,1.71,1200.37
4096,1000,2.67,1534.20
8192,1000,3.22,2546.03
16384,1000,3.55,4612.15
32768,1000,4.82,6794.82
65536,640,6.33,10352.45
131072,320,11.64,11259.52
262144,160,19.44,13482.21
524288,80,39.39,13309.93
1048576,40,89.33,11738.00
2097152,20,221.08,9486.09
4194304,10,401.83,10437.95
