# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.23,0.00
1,1000,0.26,3.91
2,1000,0.26,7.83
4,1000,0.26,15.67
8,1000,0.26,31.22
16,1000,0.27,58.30
32,1000,0.27,120.17
64,1000,0.31,208.34
128,1000,0.37,349.55
256,1000,0.42,610.61
512,1000,0.59,870.17
1024,1000,0.67,1524.14
2048,1000,0.78,2621.12
4096,1000,1.60,2559.52
8192,1000,1.92,4257.86
16384,1000,2.47,6633.66
32768,1000,3.86,8480.79
65536,640,5.19,12617.01
131072,320,10.17,12885.77
262144,160,17.78,14742.77
524288,80,36.99,14174.17
1048576,40,85.97,12196.73
2097152,20,211.93,9895.37
4194304,10,432.25,9703.45
