# Command used - mpirun -np 2 --report-bindings --map-by socket --mca pml ob1 --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.52,0.00
1,1000,0.60,1.67
2,1000,0.60,3.34
4,1000,0.62,6.44
8,1000,0.62,12.88
16,1000,0.65,24.48
32,1000,0.73,44.04
64,1000,0.84,76.16
128,1000,0.97,132.26
256,1000,1.15,222.55
512,1000,1.12,456.52
1024,1000,1.45,706.57
2048,1000,1.77,1157.05
4096,1000,2.74,1492.84
8192,1000,3.32,2469.96
16384,1000,3.57,4592.20
32768,1000,5.11,6415.29
65536,640,6.30,10397.18
131072,320,11.29,11613.17
262144,160,19.54,13418.38
524288,80,39.13,13400.22
1048576,40,88.94,11789.13
2097152,20,221.81,9454.54
4194304,10,400.67,10468.23
