# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.98,0.00
1,1000,0.98,1.02
2,1000,0.99,2.02
4,1000,0.99,4.05
8,1000,0.98,8.15
16,1000,0.99,16.22
32,1000,1.01,31.77
64,1000,1.15,55.62
128,1000,1.20,106.96
256,1000,1.42,180.64
512,1000,1.49,344.02
1024,1000,1.65,619.24
2048,1000,2.33,878.66
4096,1000,3.23,1269.34
8192,1000,4.64,1766.36
16384,1000,6.55,2499.77
32768,1000,8.69,3770.01
65536,640,12.48,5251.78
131072,320,18.94,6920.75
262144,160,31.92,8212.24
524288,80,54.74,9578.61
1048576,40,97.98,10701.98
2097152,20,182.09,11516.94
4194304,10,353.32,11871.26
