# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.19,5.26
2,1000,0.19,10.34
4,1000,0.18,21.88
8,1000,0.19,43.22
16,1000,0.19,86.35
32,1000,0.22,144.77
64,1000,0.22,291.81
128,1000,0.30,425.59
256,1000,0.33,771.83
512,1000,0.40,1277.76
1024,1000,0.50,2062.57
2048,1000,0.74,2773.69
4096,1000,1.12,3666.66
8192,1000,1.87,4387.83
16384,1000,2.95,5558.67
32768,1000,4.79,6845.72
65536,640,8.24,7956.78
131072,320,15.56,8424.07
262144,160,13.84,18945.95
524288,80,24.75,21180.13
1048576,40,54.16,19360.47
2097152,20,144.26,14536.83
4194304,10,306.46,13686.29
