# Command used - mpirun -np 2 --report-bindings --map-by node --mca pml ob1 --mca btl self,tcp --mca btl_tcp_if_include br0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,16.20,0.00
1,1000,16.15,0.06
2,1000,16.24,0.12
4,1000,16.08,0.25
8,1000,16.16,0.50
16,1000,16.22,0.99
32,1000,16.26,1.97
64,1000,16.71,3.83
128,1000,17.22,7.43
256,1000,16.93,15.12
512,1000,17.32,29.56
1024,1000,17.68,57.93
2048,1000,39.39,51.99
4096,1000,39.82,102.86
8192,1000,40.16,203.99
16384,1000,42.30,387.36
32768,1000,51.77,632.97
65536,640,149.12,439.47
131072,320,156.70,836.45
262144,160,208.75,1255.78
524288,80,308.34,1700.38
1048576,40,534.15,1963.08
2097152,20,893.63,2346.79
4194304,10,1784.44,2350.49
