# Command used - mpirun -np 2 --report-bindings --map-by core --mca pml ucx --mca btl self,vader --mca btl_vader_if_include ib0 ./IMB-MPI1_gcc PingPong
# Nodes used - ct1pt-tnode008.hpc, ct1pt-tnode009.hpc
# Calculated Latency = ; Calculated Bandwidth = 
#bytes,#repetitions,t[usec],Mbytes/sec
0,1000,0.20,0.00
1,1000,0.19,5.38
2,1000,0.19,10.78
4,1000,0.19,21.57
8,1000,0.19,42.64
16,1000,0.19,85.08
32,1000,0.22,144.36
64,1000,0.22,287.77
128,1000,0.31,409.04
256,1000,0.33,775.68
512,1000,0.40,1292.31
1024,1000,0.49,2074.60
2048,1000,0.74,2763.78
4096,1000,1.12,3671.27
8192,1000,1.86,4397.02
16384,1000,2.95,5554.54
32768,1000,4.81,6813.29
65536,640,8.30,7891.80
131072,320,15.10,8677.47
262144,160,12.58,20835.59
524288,80,23.55,22265.15
1048576,40,54.25,19329.25
2097152,20,141.13,14859.38
4194304,10,314.52,13335.68
